"SAS statistics gathered on: Tue Feb 26 12:25:03 CST 2013 - Sampling interval: 68 days, 16:25:34"




"SAS Device Summary:"

"SAS Device #1 = IOC located in RAID Enclosure 0, slot 0 "
"SAS Device #2 = Expander located in RAID Enclosure 0, slot 0 "
"SAS Device #3 = Expander located in RAID Enclosure 0, slot 1 "
"SAS Device #4 = Physical Disk [0,0]"
"SAS Device #5 = Physical Disk [0,1]"
"SAS Device #6 = Physical Disk [0,2]"
"SAS Device #7 = Physical Disk [0,3]"
"SAS Device #8 = Physical Disk [0,4]"
"SAS Device #9 = Physical Disk [0,5]"
"SAS Device #10 = Physical Disk [0,6]"
"SAS Device #11 = Physical Disk [0,7]"
"SAS Device #12 = IOC located in RAID Enclosure 0, slot 1 "

"SAS Statistics Details:"

"Devices (Attached To)","SASDev","PHYID ","CURSP ","MAXSP","IDWC","RDEC ","LDWSC","RPC"

"","","","","","","","",""
"Physical Disk Channel 0, RAID Enclosure 0","","","","","","","",""
"RAID Controller Module in slot 1 - (Expander)","12","11","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,0]","3","0","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,1]","3","1","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,2]","3","2","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,3]","3","3","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,4]","3","4","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,5]","3","5","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,6]","3","6","6 Gbps","6 Gbps","0","0","0","0"
"Physical Disk [0,7]","3","7","6 Gbps","6 Gbps","0","0","0","0"


"Legend:"

"PHYID =A number in the range 0-127 that is the PHY identifier"
"CURSP =The current negotiated physical link rate for the PHY "
"MAXSP=The hardware maximum physical link rate for the PHY"
"IDWC=Number of invalid dwords that have been received outside of PHY reset sequences"
"RDEC =Number of dwords containing running disparity errors that have been received"
"LDWSC=Times the PHY has restarted the link reset seq. because it lost dword synchronization"
"RPC=Times the PHY did not receive dword synchronization during the final SAS speed negotiation window"
"DATA INVALID=Statistics could not be retrieved or device is a SATA physical disk"

