"Data gathered on: Tue Feb 26 12:25:05 CST 2013"


"Storage Array: WGASAN01"




"Raw statistics"

"RAID Controller Module 0 boot time: 12/19/12 7:53:10 PM"
"RAID Controller Module 1 boot time: 12/19/12 7:57:00 PM"



"Baseline statistics"

"RAID Controller Module 0 baseline time: 12/19/12 7:56:09 PM"
"RAID Controller Module 1 baseline time: 12/19/12 7:59:56 PM"
"RAID Controller Module 0 sampling interval: 1648:30:02"
"RAID Controller Module 1 sampling interval: 1648:25:09"

"Ethernet MAC Statistics (Raw)"


"MAC transmit statistics"


"iSCSI Host Port","F","B","MF","BF","PF","CF","FDF","FED","FLC","FA","FSC","FMC","FC","FDR","JF"

"Ethernet TCP/IP Statistics (Raw)"


"TCP statistics"


"iSCSI Host Port","TxS","TxB","RTxTE","TxDACK","TxACK","RxS","RxB","RxDACK","RxACK","RxSEC","RxSOOC","RxWP","RxWU"

"RAID Controller Module 1, port 0","508460290","9933160839872","286854","9492466","1491256824","2395707091","2291095714","71337108","3619273941","0","17964","0","61864133"
"RAID Controller Module 1, port 1","100924","35221196","0","98922","1939","197899","4751768","0","98914","0","0","0","0"
"RAID Controller Module 1, port 2","168214","4122944","0","85728","82437","89078","4145096","0","3306","0","0","0","0"
"RAID Controller Module 1, port 3","192108","10524432","0","95105","81731","116097","7423600","0","15860","0","0","0","0"
"RAID Controller Module 0, port 0","1102509348","14768141342307","20279","2493339","2662254008","2143121037","319477206","106923190","599068757","0","8186","0","504614201"
"RAID Controller Module 0, port 1","200090825","248773271640","1053","481450","12850413","116947817","2032533320","1801982","87413505","0","69","0","64"
"RAID Controller Module 0, port 2","168265","4126140","0","85733","82439","89132","4146520","0","3306","0","0","0","0"
"RAID Controller Module 0, port 3","887269","636427084","39","92550","298365","780907","619478076","51996","250119","0","0","0","0"
"IPv4 statistics"


"iSCSI Host Port","TxP","TxB","TxF","RxP","RxB","RxF","RxPE","DR","DRE-OLFC","DRE-OOFC","DRE-TOC"

"RAID Controller Module 1, port 0","508460290","9933160839872","0","2395707091","2291095714","0","0","0","0","0","0"
"RAID Controller Module 1, port 1","100924","35221196","0","197899","4751768","0","0","0","0","0","0"
"RAID Controller Module 1, port 2","168214","4122944","0","89078","4145096","0","0","0","0","0","0"
"RAID Controller Module 1, port 3","192108","10524432","0","116097","7423600","0","0","0","0","0","0"
"RAID Controller Module 0, port 0","1102509348","14768141342307","0","2143121037","319477206","0","0","0","0","0","0"
"RAID Controller Module 0, port 1","200090825","248773271640","0","116947817","2032533320","0","0","0","0","0","0"
"RAID Controller Module 0, port 2","168265","4126140","0","89132","4146520","0","0","0","0","0","0"
"RAID Controller Module 0, port 3","887269","636427084","0","780907","619478076","0","0","0","0","0","0"
"IPv6 statistics"


"iSCSI Host Port","TxP","TxB","TxF","RxP","RxB","RxF","RxPE","DR","DRE-OLFC","DRE-OOFC","DRE-TOC"

